ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
180000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
50,"ACCESSORY BUILDING"
240000,"MULTI-UNIT DWELLING"
9000,"SINGLE UNIT DWELLING"
3000000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
14000,"TWO UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
0,"OTHER SERVICE"
0,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
132000,"MOBILE HOME"
17000,"SINGLE UNIT DWELLING"
360000,"SINGLE UNIT DWELLING"
150000,"MULTI-UNIT DWELLING"
6500,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
166000,OFFICE
20000,"ACCESSORY BUILDING"
200000,"TWO UNIT DWELLING"
800000,"MULTI-UNIT DWELLING"
14000,"COMMUNITY CENTRE"
200000,"SINGLE UNIT DWELLING"
3400,"MULTI-UNIT DWELLING"
0,OFFICE
0,OFFICE
0,"OTHER SERVICE"
45000,"SINGLE UNIT DWELLING"
407000,"SINGLE UNIT DWELLING"
330000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
40000,"MEDICAL CLINIC"
16800,"ACCESSORY BUILDING"
0,OFFICE
350000,"SINGLE UNIT DWELLING"
800,"ACCESSORY BUILDING"
95000,OFFICE
45000,OFFICE
20000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
19300,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
700000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
360000,"SINGLE UNIT DWELLING"
140000,BAR/RESTAURANT
30000,"OTHER RETAIL"
9000,"MULTI COMMERCIAL"
160000,"SINGLE UNIT DWELLING"
0,OFFICE
10000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
155000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
0,"STRIP MALL"
80000,BAR/RESTAURANT
72000,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
0,OFFICE
200000,"SINGLE UNIT DWELLING"
11730,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
3400,"ACCESSORY BUILDING"
8000,"SINGLE UNIT DWELLING"
5000,OFFICE
22000,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
139194,"MOBILE HOME"
30000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
90000,"MOBILE HOME"
0,BAR/RESTAURANT
40000,"SINGLE UNIT DWELLING"
140000,BAR/RESTAURANT
85000,"SINGLE UNIT DWELLING"
25000,OFFICE
30000,"ACCESSORY BUILDING"
20000,"TWO UNIT DWELLING"
0,"OTHER SERVICE"
300000,"SINGLE UNIT DWELLING"
33000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
65000,"MULTI COMMERCIAL"
200000,OFFICE
800000,TOWNHOUSE
260000,"SINGLE UNIT DWELLING"
10000,THEATRE
2300,"ACCESSORY BUILDING"
50000,"ACCESSORY BUILDING"
145000,"SINGLE UNIT DWELLING"
27000,"ACCESSORY BUILDING"
148000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
40000,"ACCESSORY BUILDING"
275000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
210000,"MULTI-UNIT DWELLING"
6000,"MULTI COMMERCIAL"
300000,"MULTI COMMERCIAL"
60000,"MULTI COMMERCIAL"
49500,"MULTI COMMERCIAL"
5000,"SINGLE UNIT DWELLING"
135000,"TWO UNIT DWELLING"
0,"MULTI COMMERCIAL"
2150000,"POST SECONDARY"
222000,OFFICE
110000,"MOBILE HOME"
99000,BAR/RESTAURANT
7700,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
75000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
1900000,"OTHER RETAIL"
10000,"SINGLE UNIT DWELLING"
650000,WAREHOUSE
8000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
50000,BAR/RESTAURANT
52000,"PLACE OF WORSHIP"
0,"MIXED RES/COMM"
150000,OFFICE
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
4900,"SINGLE UNIT DWELLING"
190000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
347380,"MULTI COMMERCIAL"
500000,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
100000,"SINGLE UNIT DWELLING"
625000,"MULTI-UNIT DWELLING"
110000,"SINGLE UNIT DWELLING"
612000,"OTHER RETAIL"
45000,"SHOPPING CENTRE"
139194,"MOBILE HOME"
25000,"SINGLE UNIT DWELLING"
10000,"OTHER RETAIL"
1000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
1089000,"PUMPING STATION"
70000,"SINGLE UNIT DWELLING"
10000,"MIXED RES/COMM"
4000,HOSPITAL
14000,"ACCESSORY BUILDING"
25000,"SINGLE UNIT DWELLING"
15122,"ACCESSORY BUILDING"
60000,"SINGLE UNIT DWELLING"
1200000,"OTHER SERVICE"
42000,"MIXED RES/COMM"
137000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
8000,"MULTI-UNIT DWELLING"
25000,"ACCESSORY BUILDING"
15000,"MULTI-UNIT DWELLING"
15000,"MULTI-UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
310000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
380000,"SINGLE UNIT DWELLING"
10000,CAMP
30000,"ACCESSORY BUILDING"
18000,"ACCESSORY BUILDING"
13000,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
8900,"SINGLE UNIT DWELLING"
565000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
880000,TOWNHOUSE
25000,"MULTI COMMERCIAL"
1000,"SINGLE UNIT DWELLING"
595000,"MULTI COMMERCIAL"
19000,"ACCESSORY BUILDING"
74000,BAR/RESTAURANT
7200000,"MULTI-UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
600,"MULTI-UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
35000,"AIRPORT SUPPORT FACILI"
200000,"SINGLE UNIT DWELLING"
26000,"MULTI COMMERCIAL"
25000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
200000,OFFICE
145000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
45000,"SINGLE UNIT DWELLING"
1400000,"MULTI-UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
110000,"AIRPORT TERMINAL"
1560000,"MULTI-UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
23000,"SINGLE UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
90000,WAREHOUSE
3000,"SINGLE UNIT DWELLING"
6986,"TWO UNIT DWELLING"
15000,"ACCESSORY BUILDING"
500000,"SINGLE UNIT DWELLING"
250000,"OTHER RETAIL"
480000,"SINGLE UNIT DWELLING"
54000,"MULTI-UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
27000,OFFICE
0,"OTHER RETAIL"
350000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
180000,OFFICE
10000,"ACCESSORY BUILDING"
200000,"OTHER RETAIL"
223000,OFFICE
10000,"SINGLE UNIT DWELLING"
40000,"NON PROFIT"
15000,"ACCESSORY BUILDING"
230000,"TWO UNIT DWELLING"
20000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
53000,"SINGLE UNIT DWELLING"
48000,"OTHER RETAIL"
55000,OFFICE
5000,"MIXED RES/COMM"
350000,"MULTI-UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
0,OFFICE
260000,BANK
450000,"MULTI-UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
30000,BAR/RESTAURANT
7000,"TWO UNIT DWELLING"
278000,"MULTI COMMERCIAL"
350000,BAR/RESTAURANT
250000,"MIXED RES/COMM"
210000,"SINGLE UNIT DWELLING"
60000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
20000,"SINGLE UNIT DWELLING"
27100,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
1000000,"OTHER SERVICE"
25000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
63000,WAREHOUSE
0,"REPAIR GARAGE"
300000,"TWO UNIT DWELLING"
2500000,"MULTI COMMERCIAL"
75000,"ACCESSORY BUILDING"
140000,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
550000,"SINGLE UNIT DWELLING"
11000,"OTHER SERVICE"
1500000,"SINGLE UNIT DWELLING"
2500,"TWO UNIT DWELLING"
17250,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
40000,"SINGLE UNIT DWELLING"
110000,"MOBILE HOME"
155994,"SINGLE UNIT DWELLING"
10000,"MULTI-UNIT DWELLING"
90000,OFFICE
0,"STRIP MALL"
0,SUPERMARKET
312653,"STRIP MALL"
1800000,"SINGLE UNIT DWELLING"
3000,"MULTI-UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
100000,"OTHER RETAIL"
2000,"ACCESSORY BUILDING"
6000,"MULTI COMMERCIAL"
500000,BANK
300000,"TWO UNIT DWELLING"
3500,"ACCESSORY BUILDING"
340000,"TWO UNIT DWELLING"
171020,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
14000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
7000,BAR/RESTAURANT
100,GREENHOUSE
15000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
300,"TWO UNIT DWELLING"
26000,"ACCESSORY BUILDING"
22000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
275000,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
5000,"MIXED RES/COMM"
20000,"ACCESSORY BUILDING"
6900,"TWO UNIT DWELLING"
10000,"ACCESSORY BUILDING"
6986,"TWO UNIT DWELLING"
6986,"TWO UNIT DWELLING"
6986,"TWO UNIT DWELLING"
150000,"MULTI COMMERCIAL"
650000,"MULTI-UNIT DWELLING"
25000,"ACCESSORY BUILDING"
280000,"TWO UNIT DWELLING"
110000,"SINGLE UNIT DWELLING"
3500,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
225000,"SINGLE UNIT DWELLING"
237000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
550000,"TWO UNIT DWELLING"
0,"MULTI COMMERCIAL"
80000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
200000,"REPAIR GARAGE"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
6000,"MULTI-UNIT DWELLING"
300000,"TWO UNIT DWELLING"
22700,"ACCESSORY BUILDING"
75000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
10000,"ART GALLERY"
18000,OFFICE
300000,"TWO UNIT DWELLING"
17300,"ACCESSORY BUILDING"
3000,"SINGLE UNIT DWELLING"
236442,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
40000,"TWO UNIT DWELLING"
7600,"OTHER SERVICE"
230000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
6986,"TWO UNIT DWELLING"
6986,"TWO UNIT DWELLING"
11700,"ACCESSORY BUILDING"
0,OFFICE
1000000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
270000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
2000,"MIXED RES/COMM"
15000,"SINGLE UNIT DWELLING"
290000,"SINGLE UNIT DWELLING"
14410896,"MULTI-UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
20000,"MULTI-UNIT DWELLING"
237000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
3500,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
95000,"OTHER SERVICE"
0,"REPAIR GARAGE"
200000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
37500,OFFICE
12000,OFFICE
15000,"SINGLE UNIT DWELLING"
6315,"ACCESSORY BUILDING"
6986,"TWO UNIT DWELLING"
6986,"TWO UNIT DWELLING"
175000,"OTHER SERVICE"
175000,"MULTI COMMERCIAL"
10000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
221000,"OTHER RETAIL"
434010,"REPAIR GARAGE"
6986,"TWO UNIT DWELLING"
6986,"TWO UNIT DWELLING"
85000,"SINGLE UNIT DWELLING"
6986,"TWO UNIT DWELLING"
6986,"TWO UNIT DWELLING"
100,GREENHOUSE
237000,"SINGLE UNIT DWELLING"
109000,"MULTI-UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
12750,"SINGLE UNIT DWELLING"
105000,"MIXED RES/COMM"
20000,"SINGLE UNIT DWELLING"
9952,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
360000,"SINGLE UNIT DWELLING"
237000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
40000,OFFICE
6400,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
550000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
151000,WAREHOUSE
0,"AUTO DEALERSHIP"
87000,"SINGLE UNIT DWELLING"
8750,SUPERMARKET
0,"MOBILE HOME"
245000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
0,OFFICE
40000,"MULTI COMMERCIAL"
5000,OFFICE
160000,"SINGLE UNIT DWELLING"
12861,"TWO UNIT DWELLING"
62000,WAREHOUSE
160000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
5000,"SINGLE UNIT DWELLING"
400000,"TWO UNIT DWELLING"
3000,"COMMERCIAL STORAGE"
70000,"SINGLE UNIT DWELLING"
105000,"MIXED RES/COMM"
185000,"SINGLE UNIT DWELLING"
210000,"MULTI COMMERCIAL"
1000,"ACCESSORY BUILDING"
22835256,"OTHER SERVICE"
32500,"TWO UNIT DWELLING"
250000,OFFICE
0,"MULTI COMMERCIAL"
30000,"MIXED RES/COMM"
311000,"MULTI-UNIT DWELLING"
75000,OFFICE
400000,"TWO UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
3000,"PRIVATE SCHOOL"
485921,OFFICE
3000,"ACCESSORY BUILDING"
7000,OFFICE
4000,"MULTI-UNIT DWELLING"
350000,"OTHER SERVICE"
10000,"MULTI COMMERCIAL"
5000,"TWO UNIT DWELLING"
27721,"TWO UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
32500,"TWO UNIT DWELLING"
10000,"MIXED RES/COMM"
10000,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
1000,"TWO UNIT DWELLING"
16166,"TWO UNIT DWELLING"
110000,"SINGLE UNIT DWELLING"
0,OFFICE
410000,"SINGLE UNIT DWELLING"
550000,"REPAIR GARAGE"
10000,"MIXED RES/COMM"
12861,"TWO UNIT DWELLING"
43971,"TWO UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
19000,"MIXED RES/COMM"
402000,"MIXED RES/COMM"
700000,"SINGLE UNIT DWELLING"
2000,"MULTI COMMERCIAL"
50000,"SINGLE UNIT DWELLING"
900000,OFFICE
250000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
70000,"MULTI COMMERCIAL"
6000,"MULTI-UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
250000,BANK
1500000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
600000,"SINGLE UNIT DWELLING"
48000,"AIRPORT SUPPORT FACILI"
4500,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
145924,"SINGLE UNIT DWELLING"
100,GREENHOUSE
300000,"SINGLE UNIT DWELLING"
35000,"BED & BREAKFAST"
4000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
180000,OFFICE
225000,"SINGLE UNIT DWELLING"
91000,"SINGLE UNIT DWELLING"
30000,UNKNOWN
9000,"COMMUNITY CENTRE"
160000,"SINGLE UNIT DWELLING"
45000,OFFICE
25000,"MULTI-UNIT DWELLING"
130000,"SHOPPING CENTRE"
50000,"OTHER RETAIL"
10000,"SINGLE UNIT DWELLING"
40000,"MULTI COMMERCIAL"
250000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
10000,OFFICE
13972,"SINGLE UNIT DWELLING"
13972,"TWO UNIT DWELLING"
13972,"TWO UNIT DWELLING"
13972,"TWO UNIT DWELLING"
93000,OFFICE
375000,"SINGLE UNIT DWELLING"
100,"OTHER RETAIL"
230000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
590000,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
0,"POST SECONDARY"
151000,OFFICE
200000,"SINGLE UNIT DWELLING"
54000,"AIRPORT TERMINAL"
368000,"OTHER RETAIL"
13948870,"MULTI COMMERCIAL"
184724,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
54000,"MULTI-UNIT DWELLING"
145903,"MOBILE HOME"
400000,"SINGLE UNIT DWELLING"
195000,"SHOPPING CENTRE"
40000,OFFICE
50000,"TWO UNIT DWELLING"
100000,"COMMERCIAL STORAGE"
350000,"SINGLE UNIT DWELLING"
200000,"MIXED RES/COMM"
350000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
1500,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
2395,"SINGLE UNIT DWELLING"
22000,"MULTI COMMERCIAL"
75000,"STRIP MALL"
1200000,"MULTI-UNIT DWELLING"
81000,OFFICE
14000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
50000,BREWERY
30000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
15465,"TWO UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
123000,OFFICE
100000,"OTHER RETAIL"
25000,"ACCESSORY BUILDING"
260000,"TWO UNIT DWELLING"
10000,"TWO UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
55000,"STRIP MALL"
150000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
40000,"MIXED RES/COMM"
0,"MIXED RES/COMM"
200000,"SINGLE UNIT DWELLING"
65000,"SINGLE UNIT DWELLING"
89500,"MULTI-UNIT DWELLING"
150000,"STRIP MALL"
175000,"MULTI COMMERCIAL"
35000,"ACCESSORY BUILDING"
3196014,"MULTI-UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
420000,"SINGLE UNIT DWELLING"
54000,"ACCESSORY BUILDING"
100000,OFFICE
25000,"TWO UNIT DWELLING"
200,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
6000,"TWO UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
20000,BAR/RESTAURANT
42900,"MULTI-UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
75600,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
105000,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
100,"OTHER RETAIL"
170000,"SINGLE UNIT DWELLING"
30000,"MULTI COMMERCIAL"
2500,BAR/RESTAURANT
0,"MEDICAL OFFICE"
0,"OTHER RETAIL"
5000,"MULTI-UNIT DWELLING"
19500,"SINGLE UNIT DWELLING"
366000,"SINGLE UNIT DWELLING"
400000,"MULTI-UNIT DWELLING"
30000,"MULTI-UNIT DWELLING"
19200,"ACCESSORY BUILDING"
9000,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
28000,"ACCESSORY BUILDING"
5265000,WAREHOUSE
11000,"SINGLE UNIT DWELLING"
0,"REPAIR GARAGE"
87000,BANK
100000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
90000,OFFICE
230000,"SINGLE UNIT DWELLING"
675000,"SINGLE UNIT DWELLING"
173500,"SINGLE UNIT DWELLING"
223000,"MULTI COMMERCIAL"
25059,"MULTI-UNIT DWELLING"
25000,"TWO UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
250000,"MULTI-UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
15000,"MIXED RES/COMM"
20000,"MULTI COMMERCIAL"
18000,"MIXED RES/COMM"
120000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
500000,"TWO UNIT DWELLING"
67200,"SINGLE UNIT DWELLING"
568000,"OTHER RETAIL"
100000,"MULTI COMMERCIAL"
125000,UNKNOWN
25000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
5000,"MEDICAL OFFICE"
0,"MULTI-UNIT DWELLING"
16770,BAR/RESTAURANT
158300,"MULTI COMMERCIAL"
14000,"ACCESSORY BUILDING"
18000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
452000,"SINGLE UNIT DWELLING"
50000,HOTEL/MOTEL
20000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
37000,"ACCESSORY BUILDING"
15000,"SINGLE UNIT DWELLING"
49052,"MULTI-UNIT DWELLING"
14000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
140000,FACTORY/PLANT
20000,"SINGLE UNIT DWELLING"
20000,"GAS STATION"
22000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
17000,"MULTI-UNIT DWELLING"
6885000,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
186000,"SINGLE UNIT DWELLING"
80000,"OTHER RETAIL"
150000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
60000,"TWO UNIT DWELLING"
20000,"OTHER SERVICE"
47500,BAR/RESTAURANT
70000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
42000,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
3500,"ACCESSORY BUILDING"
320000,"SINGLE UNIT DWELLING"
12125,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
200000,"TWO UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
3500,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
215000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
9000,"ACCESSORY BUILDING"
40000,"SINGLE UNIT DWELLING"
1700,"MULTI-UNIT DWELLING"
7000,"SINGLE UNIT DWELLING"
80000,"MOBILE HOME"
12000,"MULTI-UNIT DWELLING"
23450,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
98500,"MOBILE HOME"
60000,"TWO UNIT DWELLING"
10000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
15000,BAR/RESTAURANT
95994,"MOBILE HOME"
50000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
200,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
82750,"SINGLE UNIT DWELLING"
7761,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
295000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
120000,"TWO UNIT DWELLING"
15000,"TWO UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
66000,"REPAIR GARAGE"
200000,OFFICE
400000,"SINGLE UNIT DWELLING"
8000,"MOBILE HOME"
2500,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
12700,"SINGLE UNIT DWELLING"
